Alter;Geschlecht;Klasse;Anzahl_Apps;Anzahl_Onlineprofile;Anzahl_Kontakte;Nutzen_WhatsApp;Nutzen_Instagram;Nutzen_Facebook;Nutzen_Twitter;Nutzen_Snapchat
12;männlich;6;92;9;88;täglich;mehrmals pro Woche;seltener;nie;täglich
12;männlich;6;34;5;120;täglich;mehrmals pro Woche;nie;nie;nie
18;weiblich;11;13;1;70;täglich;täglich;nie;nie;nie
13;männlich;7;40;15;1265;täglich;nie;nie;nie;nie
17;männlich;11;104;10;314;täglich;täglich;nie;seltener;täglich
17;männlich;11;83;12;177;täglich;täglich;nie;nie;täglich
17;männlich;11;170;40;271;täglich;täglich;einmal in 14 Tagen;nie;mehrmals pro Woche
16;männlich;10;70;9;239;einmal im Monat;einmal pro Woche;seltener;einmal im Monat;mehrmals pro Woche
13;männlich;8;35;6;270;täglich;einmal in 14 Tagen;nie;mehrmals pro Woche;mehrmals pro Woche
14;männlich;8;10;5;87;täglich;nie;nie;nie;nie
18;männlich;12;110;25;311;täglich;nie;nie;nie;täglich
17;weiblich;11;128;1;46;nie;nie;nie;nie;nie
18;weiblich;12;6;2;153;täglich;täglich;seltener;nie;nie
17;männlich;11;18;6;200;täglich;täglich;einmal im Monat;nie;täglich
18;weiblich;12;45;4;190;mehrmals pro Woche;seltener;nie;seltener;nie
14;weiblich;9;51;5;170;täglich;mehrmals pro Woche;nie;nie;nie
18;männlich;11;26;3;310;täglich;täglich;einmal pro Woche;nie;mehrmals pro Woche
16;männlich;10;62;1;38;täglich;nie;seltener;nie;nie
16;männlich;11;26;5;154;täglich;täglich;mehrmals pro Woche;nie;täglich
17;männlich;11;25;4;150;täglich;täglich;nie;nie;täglich
17;weiblich;11;52;3;275;täglich;täglich;nie;nie;täglich
14;weiblich;8;27;5;191;täglich;täglich;nie;nie;täglich
14;männlich;8;67;9;34;täglich;täglich;nie;mehrmals pro Woche;mehrmals pro Woche
13;männlich;8;56;13;251;täglich;täglich;seltener;seltener;einmal pro Woche
14;männlich;8;34;4;134;täglich;täglich;nie;nie;mehrmals pro Woche
13;männlich;8;78;;;täglich;nie;nie;nie;nie
19;männlich;12;51;25;106;täglich;täglich;nie;nie;täglich
13;weiblich;7;5;2;45;täglich;täglich;nie;nie;einmal in 14 Tagen
17;weiblich;11;33;7;211;täglich;täglich;nie;nie;mehrmals pro Woche
17;männlich;11;156;7;240;täglich;täglich;nie;nie;täglich
17;männlich;11;69;8;156;täglich;täglich;nie;nie;täglich
13;männlich;7;10;5;87;täglich;täglich;nie;nie;nie
17;männlich;11;47;16;166;täglich;täglich;nie;nie;täglich
16;männlich;11;116;4;236;täglich;mehrmals pro Woche;nie;nie;einmal in 14 Tagen
16;weiblich;10;60;5;312;täglich;täglich;mehrmals pro Woche;täglich;täglich
16;weiblich;11;43;5;313;täglich;täglich;mehrmals pro Woche;nie;täglich
16;weiblich;10;13;15;164;täglich;täglich;seltener;einmal pro Woche;täglich
17;männlich;11;279;12;265;täglich;mehrmals pro Woche;täglich;nie;mehrmals pro Woche
14;männlich;8;40;1;55;täglich;täglich;nie;nie;nie
17;weiblich;11;17;10;215;täglich;täglich;täglich;nie;täglich
17;weiblich;11;40;4;302;täglich;täglich;nie;nie;täglich
18;männlich;12;56;3;490;täglich;mehrmals pro Woche;nie;nie;täglich
18;weiblich;12;18;3;189;täglich;täglich;nie;nie;täglich
13;weiblich;7;4;1;106;täglich;täglich;nie;seltener;mehrmals pro Woche
17;weiblich;11;22;4;458;täglich;täglich;nie;nie;täglich
17;weiblich;12;58;7;75;mehrmals pro Woche;täglich;nie;nie;täglich
13;weiblich;7;22;22;79;täglich;täglich;nie;nie;täglich
14;männlich;8;84;10;145;täglich;nie;nie;nie;nie
15;weiblich;9;20;5;240;täglich;täglich;einmal in 14 Tagen;nie;täglich
17;männlich;11;10;4;86;täglich;nie;nie;einmal pro Woche;nie
11;männlich;5;8;0;57;täglich;nie;nie;nie;einmal pro Woche
11;männlich;5;8;0;57;täglich;nie;nie;nie;einmal pro Woche
17;weiblich;12;38;6;319;täglich;täglich;nie;nie;täglich
13;weiblich;8;12;5;146;täglich;täglich;nie;nie;mehrmals pro Woche
18;männlich;12;31;5;228;täglich;täglich;einmal pro Woche;einmal im Monat;täglich
14;männlich;8;90;4;283;täglich;täglich;nie;nie;einmal in 14 Tagen
11;weiblich;5;37;1;65;täglich;nie;nie;nie;mehrmals pro Woche
12;weiblich;6;18;0;70;täglich;nie;nie;nie;nie
14;weiblich;9;95;5;161;täglich;einmal pro Woche;nie;nie;nie
18;weiblich;12;53;4;359;täglich;täglich;einmal pro Woche;nie;einmal pro Woche
17;männlich;11;73;16;130;täglich;täglich;seltener;täglich;täglich
15;weiblich;9;;6;252;täglich;einmal pro Woche;nie;nie;täglich
17;weiblich;12;16;6;463;täglich;täglich;nie;nie;täglich
14;männlich;9;55;15;;täglich;mehrmals pro Woche;seltener;seltener;nie
15;männlich;9;34;25;158;täglich;täglich;nie;nie;täglich
16;männlich;10;43;6;126;täglich;täglich;nie;nie;täglich
17;männlich;10;6;3;26;täglich;seltener;nie;nie;nie
16;männlich;10;30;7;278;täglich;nie;täglich;täglich;täglich
15;weiblich;9;51;7;140;täglich;einmal im Monat;seltener;nie;nie
14;weiblich;8;51;3;243;mehrmals pro Woche;mehrmals pro Woche;nie;nie;täglich
18;männlich;12;70;6;128;täglich;täglich;täglich;einmal pro Woche;täglich
17;männlich;11;16;3;70;täglich;nie;nie;nie;nie
14;weiblich;8;40;2;158;täglich;nie;nie;nie;nie
17;männlich;11;16;2;120;täglich;seltener;nie;nie;nie
17;weiblich;11;86;26;249;täglich;täglich;seltener;seltener;täglich
15;männlich;9;12;7;184;täglich;täglich;nie;nie;täglich
